"[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.02105263 0.02631579 0.02631579
 0.02631579 0.02631579 0.02631579 0.02631579 0.02631579 0.03157895
 0.03157895 0.03157895 0.03684211 0.03684211 0.03684211 0.14210526
 0.15789474 0.23157895 0.27894737 0.34210526 0.34210526 0.36315789
 0.39473684 0.39473684 0.41052632 0.43157895 0.44210526 0.44210526
 0.44210526 0.46842105 0.46842105 0.46842105 0.46842105 0.48947368
 0.48947368 0.48947368 0.48947368 0.5        0.5        0.50526316
 0.52105263 0.52105263 0.52631579 0.52631579 0.62105263 0.65263158
 0.72631579 0.91578947 0.93684211 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01578947 0.11052632 0.14210526 0.14736842 0.14736842 0.20526316
 0.20526316 0.20526316 0.26842105 0.38947368 0.38947368 0.38947368
 0.38947368 0.38947368 0.38947368 0.38947368 0.38947368 0.38947368
 0.38947368 0.4        0.4        0.4        0.41052632 0.41052632
 0.41578947 0.41578947 0.41578947 0.42631579 0.43684211 0.46315789
 0.46315789 0.46315789 0.46842105 0.46842105 0.46842105 0.46842105
 0.46842105 0.46842105 0.48947368 0.5        0.5        0.50526316
 0.52105263 0.52105263 0.52105263 0.52631579 0.55789474 0.57894737
 0.64210526 0.73684211 0.81052632 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.01052632 0.02105263 0.02105263
 0.02105263 0.02631579 0.02631579 0.03684211 0.03684211 0.03684211
 0.04210526 0.04210526 0.04210526 0.09473684 0.1        0.14210526
 0.14736842 0.15789474 0.29473684 0.35789474 0.35789474 0.36315789
 0.4        0.4        0.40526316 0.41052632 0.42105263 0.42631579
 0.42631579 0.42631579 0.43684211 0.43684211 0.43684211 0.43684211
 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105
 0.46842105 0.46842105 0.48947368 0.48947368 0.48947368 0.48947368
 0.5        0.50526316 0.52105263 0.52631579 0.62105263 0.65263158
 0.72631579 0.74736842 0.93684211 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.02105263 0.03157895 0.10526316 0.11052632 0.14736842
 0.14736842 0.15263158 0.15263158 0.15263158 0.15263158 0.15263158
 0.17368421 0.17368421 0.39473684 0.39473684 0.39473684 0.39473684
 0.41052632 0.41052632 0.42105263 0.42105263 0.42631579 0.42631579
 0.42631579 0.42631579 0.43684211 0.43684211 0.43684211 0.43684211
 0.44210526 0.44210526 0.44210526 0.44210526 0.44210526 0.44210526
 0.46842105 0.46842105 0.46842105 0.46842105 0.48947368 0.48947368
 0.48947368 0.5        0.50526316 0.52105263 0.52105263 0.52105263
 0.52105263 0.52631579 0.54736842 0.62105263 0.65263158 0.71578947
 0.81052632 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.01052632
 0.01578947 0.06315789 0.06842105 0.15263158 0.15263158 0.15263158
 0.15263158 0.15263158 0.15263158 0.15263158 0.39473684 0.39473684
 0.40526316 0.40526316 0.40526316 0.41052632 0.41052632 0.41052632
 0.41052632 0.41578947 0.43684211 0.43684211 0.44210526 0.44210526
 0.44210526 0.46842105 0.46842105 0.46842105 0.46842105 0.47368421
 0.48421053 0.48947368 0.48947368 0.48947368 0.48947368 0.48947368
 0.5        0.51052632 0.52631579 0.55789474 0.65263158 0.67368421
 0.74736842 0.81052632 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.02105263
 0.02105263 0.03157895 0.10526316 0.10526316 0.10526316 0.10526316
 0.14736842 0.14736842 0.14736842 0.14736842 0.14736842 0.14736842
 0.14736842 0.15789474 0.15789474 0.17368421 0.18421053 0.18421053
 0.26842105 0.26842105 0.26842105 0.27894737 0.41578947 0.42105263
 0.42631579 0.42631579 0.43684211 0.44210526 0.44210526 0.44210526
 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105
 0.48947368 0.48947368 0.48947368 0.49473684 0.51052632 0.52105263
 0.52105263 0.52631579 0.55789474 0.65263158 0.71578947 0.73684211
 0.92631579 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.02105263 0.03684211 0.03684211 0.15263158 0.15263158
 0.16315789 0.16315789 0.17368421 0.17368421 0.25789474 0.25789474
 0.25789474 0.39473684 0.39473684 0.39473684 0.39473684 0.39473684
 0.39473684 0.39473684 0.39473684 0.4        0.4        0.41052632
 0.41052632 0.41578947 0.42105263 0.42105263 0.44210526 0.44210526
 0.44210526 0.46842105 0.46842105 0.46842105 0.46842105 0.47894737
 0.47894737 0.5        0.5        0.5        0.5        0.52105263
 0.52105263 0.52105263 0.52631579 0.52631579 0.54736842 0.57894737
 0.64210526 0.71578947 0.81052632 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632 0.09473684
 0.09473684 0.09473684 0.14210526 0.38421053 0.39473684 0.4
 0.41052632 0.41052632 0.41052632 0.41052632 0.42105263 0.42631579
 0.43684211 0.43684211 0.43684211 0.44210526 0.44210526 0.44210526
 0.44210526 0.46842105 0.46842105 0.46842105 0.46842105 0.47368421
 0.48947368 0.48947368 0.48947368 0.48947368 0.48947368 0.48947368
 0.48947368 0.5        0.50526316 0.52105263 0.52105263 0.52631579
 0.56842105 0.61052632 0.62105263 0.66315789 0.73684211 0.75789474
 0.90526316 0.92631579 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.07368421 0.09473684 0.09473684 0.12631579 0.14210526 0.14736842
 0.14736842 0.14736842 0.15263158 0.15263158 0.15263158 0.15263158
 0.15263158 0.16315789 0.16315789 0.16315789 0.16315789 0.26842105
 0.26842105 0.32631579 0.38947368 0.40526316 0.40526316 0.41052632
 0.43157895 0.43684211 0.43684211 0.45789474 0.45789474 0.45789474
 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105
 0.46842105 0.47368421 0.48947368 0.48947368 0.48947368 0.5
 0.50526316 0.52105263 0.52105263 0.52631579 0.62105263 0.65263158
 0.72631579 0.74736842 0.93684211 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.01052632
 0.01578947 0.03684211 0.03684211 0.04210526 0.04210526 0.05263158
 0.05263158 0.05263158 0.11578947 0.13684211 0.13684211 0.14736842
 0.16842105 0.22105263 0.22105263 0.25263158 0.25263158 0.25789474
 0.25789474 0.25789474 0.26315789 0.26315789 0.32631579 0.4
 0.4        0.4        0.41052632 0.41052632 0.42631579 0.43684211
 0.43684211 0.43684211 0.46842105 0.46842105 0.46842105 0.46842105
 0.47368421 0.48947368 0.48947368 0.48947368 0.48947368 0.48947368
 0.5        0.50526316 0.52105263 0.52631579 0.52631579 0.53684211
 0.62105263 0.76842105 0.85263158 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.02105263 0.05789474 0.06315789 0.12631579 0.13684211 0.14210526
 0.15263158 0.15263158 0.19473684 0.21578947 0.25789474 0.39473684
 0.4        0.41052632 0.42105263 0.42105263 0.42105263 0.42105263
 0.42105263 0.42105263 0.42105263 0.42105263 0.42105263 0.42105263
 0.42105263 0.42105263 0.42631579 0.42631579 0.43684211 0.43684211
 0.43684211 0.43684211 0.43684211 0.44210526 0.44210526 0.44210526
 0.46842105 0.46842105 0.46842105 0.46842105 0.47368421 0.48947368
 0.48947368 0.48947368 0.48947368 0.48947368 0.5        0.50526316
 0.52105263 0.52105263 0.52631579 0.54736842 0.62105263 0.65263158
 0.74736842 0.77894737 0.87368421 0.90526316 1.        ]","[0.         0.         0.00526316 0.00526316 0.01052632 0.01052632
 0.01578947 0.01578947 0.01578947 0.02631579 0.02631579 0.02631579
 0.02631579 0.08947368 0.17368421 0.17368421 0.20526316 0.25263158
 0.27368421 0.27368421 0.28421053 0.28421053 0.3        0.3
 0.3        0.3        0.30526316 0.33684211 0.33684211 0.33684211
 0.34210526 0.36315789 0.36315789 0.36315789 0.36315789 0.36315789
 0.37368421 0.37894737 0.42631579 0.43684211 0.43684211 0.43684211
 0.43684211 0.44210526 0.44210526 0.44210526 0.46842105 0.46842105
 0.46842105 0.46842105 0.48947368 0.48947368 0.49473684 0.50526316
 0.52105263 0.52105263 0.52105263 0.52631579 0.52631579 0.54736842
 0.64210526 0.71578947 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01578947 0.02631579 0.16315789 0.23684211 0.24210526
 0.27368421 0.31578947 0.38947368 0.39473684 0.39473684 0.39473684
 0.39473684 0.40526316 0.40526316 0.41578947 0.42105263 0.42105263
 0.42105263 0.42105263 0.42105263 0.42105263 0.42105263 0.43157895
 0.43157895 0.43157895 0.43157895 0.43157895 0.43684211 0.43684211
 0.44210526 0.44210526 0.44210526 0.46842105 0.46842105 0.46842105
 0.46842105 0.47368421 0.48947368 0.48947368 0.48947368 0.5
 0.5        0.50526316 0.52105263 0.52105263 0.52105263 0.52105263
 0.52105263 0.52105263 0.52631579 0.54736842 0.57894737 0.65263158
 0.74736842 0.81052632 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.02631579
 0.03157895 0.03157895 0.03157895 0.03157895 0.03157895 0.03157895
 0.03157895 0.03157895 0.03157895 0.03157895 0.05263158 0.05263158
 0.09473684 0.09473684 0.10526316 0.10526316 0.10526316 0.11578947
 0.11578947 0.2        0.2        0.29473684 0.3        0.31052632
 0.31578947 0.31578947 0.32105263 0.37368421 0.37368421 0.37368421
 0.37894737 0.37894737 0.41052632 0.43157895 0.43684211 0.43684211
 0.43684211 0.43684211 0.46842105 0.46842105 0.46842105 0.46842105
 0.48947368 0.48947368 0.48947368 0.48947368 0.5        0.5
 0.5        0.5        0.50526316 0.52105263 0.52631579 0.52631579
 0.54736842 0.64210526 0.71578947 1.        ]","[0.         0.         0.01052632 0.01052632 0.01052632 0.01052632
 0.02631579 0.03684211 0.06315789 0.07894737 0.08947368 0.12105263
 0.14736842 0.29473684 0.38947368 0.38947368 0.38947368 0.38947368
 0.38947368 0.38947368 0.38947368 0.38947368 0.38947368 0.38947368
 0.38947368 0.38947368 0.4        0.41578947 0.41578947 0.41578947
 0.42631579 0.43157895 0.43157895 0.43684211 0.43684211 0.43684211
 0.43684211 0.46842105 0.46842105 0.46842105 0.46842105 0.47368421
 0.48947368 0.48947368 0.48947368 0.5        0.5        0.52105263
 0.52105263 0.52105263 0.52631579 0.55789474 0.64210526 0.73684211
 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.09473684 0.11578947 0.13157895 0.17894737 0.25263158
 0.25789474 0.28947368 0.30526316 0.35789474 0.38947368 0.39473684
 0.41578947 0.42105263 0.42105263 0.42105263 0.42105263 0.42105263
 0.42105263 0.43157895 0.43157895 0.43157895 0.43157895 0.43157895
 0.43684211 0.43684211 0.43684211 0.43684211 0.43684211 0.43684211
 0.44210526 0.44210526 0.44210526 0.46842105 0.46842105 0.46842105
 0.48947368 0.48947368 0.48947368 0.48947368 0.5        0.50526316
 0.50526316 0.51052632 0.52631579 0.52631579 0.55789474 0.65263158
 0.67368421 0.73684211 0.81052632 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01578947 0.01578947 0.01578947 0.02105263 0.02105263 0.10526316
 0.12631579 0.12631579 0.15789474 0.21052632 0.22631579 0.25789474
 0.26842105 0.33157895 0.40526316 0.40526316 0.40526316 0.40526316
 0.41052632 0.41052632 0.41052632 0.41052632 0.41052632 0.43157895
 0.44210526 0.44210526 0.44736842 0.44736842 0.44736842 0.46315789
 0.46315789 0.46842105 0.46842105 0.46842105 0.46842105 0.46842105
 0.46842105 0.48947368 0.48947368 0.48947368 0.48947368 0.48947368
 0.5        0.50526316 0.50526316 0.52105263 0.52105263 0.52631579
 0.55789474 0.64210526 0.73684211 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632
 0.02105263 0.10526316 0.10526316 0.10526316 0.11052632 0.11052632
 0.15789474 0.15789474 0.26315789 0.4        0.4        0.40526316
 0.40526316 0.41578947 0.42105263 0.43157895 0.43684211 0.43684211
 0.45789474 0.45789474 0.45789474 0.46842105 0.46842105 0.46842105
 0.46842105 0.47894737 0.48947368 0.48947368 0.48947368 0.48947368
 0.48947368 0.5        0.5        0.52105263 0.52105263 0.52631579
 0.54736842 0.62105263 0.71578947 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632 0.01052632
 0.01578947 0.01578947 0.01578947 0.02105263 0.02105263 0.02631579
 0.03684211 0.13157895 0.14210526 0.14210526 0.14736842 0.14736842
 0.26842105 0.27894737 0.35263158 0.36842105 0.37894737 0.42105263
 0.42631579 0.43684211 0.43684211 0.45263158 0.45263158 0.45263158
 0.46315789 0.46315789 0.46315789 0.46842105 0.46842105 0.47368421
 0.47368421 0.48947368 0.48947368 0.48947368 0.5        0.5
 0.50526316 0.52105263 0.52105263 0.52105263 0.52105263 0.52105263
 0.52105263 0.52631579 0.6        0.62105263 0.71578947 0.90526316
 0.93684211 1.        ]","[0.         0.         0.         0.01052632 0.01052632 0.01052632
 0.01052632 0.01052632 0.09473684 0.11578947 0.14736842 0.15263158
 0.20526316 0.23684211 0.23684211 0.3        0.33157895 0.38947368
 0.38947368 0.38947368 0.4        0.4        0.4        0.40526316
 0.40526316 0.40526316 0.40526316 0.40526316 0.40526316 0.41578947
 0.41578947 0.42631579 0.42631579 0.43157895 0.43157895 0.43157895
 0.43684211 0.43684211 0.44210526 0.44210526 0.44736842 0.44736842
 0.45263158 0.45263158 0.46842105 0.46842105 0.46842105 0.46842105
 0.47368421 0.47368421 0.48947368 0.48947368 0.48947368 0.48947368
 0.5        0.5        0.50526316 0.52105263 0.52105263 0.52631579
 0.52631579 0.53684211 0.62105263 0.69473684 0.73684211 0.81052632
 0.85263158 1.        ]",,,,,,,,,,,,,,,,,,,,
"[0.         0.00645161 0.01290323 0.01290323 0.03225806 0.04516129
 0.08387097 0.2        0.22580645 0.22580645 0.22580645 0.23870968
 0.2516129  0.27096774 0.35483871 0.58709677 0.61290323 0.61290323
 0.63870968 0.6516129  0.6516129  0.66451613 0.72258065 0.72258065
 0.72258065 0.72258065 0.72258065 0.72258065 0.73548387 0.8
 0.8        0.81290323 0.81290323 0.81290323 0.81290323 0.82580645
 0.84516129 0.84516129 0.86451613 0.88387097 0.90967742 0.90967742
 0.91612903 0.95483871 0.97419355 0.97419355 0.98064516 0.98064516
 0.98064516 0.99354839 0.99354839 1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.07096774 0.08387097
 0.08387097 0.08387097 0.08387097 0.1483871  0.15483871 0.15483871
 0.16774194 0.18709677 0.18709677 0.18709677 0.21290323 0.29032258
 0.40645161 0.45806452 0.48387097 0.53548387 0.63870968 0.66451613
 0.67096774 0.67096774 0.69677419 0.74193548 0.74193548 0.76774194
 0.77419355 0.8        0.81290323 0.81290323 0.81290323 0.81290323
 0.81935484 0.84516129 0.84516129 0.86451613 0.91612903 0.92903226
 0.93548387 0.96129032 0.96129032 0.96129032 0.97419355 0.97419355
 0.97419355 0.98709677 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.03870968 0.0516129
 0.09677419 0.10967742 0.11612903 0.13548387 0.13548387 0.1483871
 0.43870968 0.43870968 0.50322581 0.50322581 0.52258065 0.58709677
 0.58709677 0.60645161 0.63225806 0.63225806 0.63225806 0.63225806
 0.63225806 0.63225806 0.63225806 0.69677419 0.70967742 0.70967742
 0.70967742 0.72258065 0.72258065 0.72903226 0.72903226 0.72903226
 0.74193548 0.8        0.8        0.81290323 0.82580645 0.84516129
 0.84516129 0.86451613 0.88387097 0.90967742 0.93548387 0.95483871
 0.96774194 0.97419355 0.97419355 0.98064516 0.99354839 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.0516129  0.06451613
 0.08387097 0.08387097 0.08387097 0.08387097 0.08387097 0.08387097
 0.1483871  0.1483871  0.17419355 0.23225806 0.25806452 0.26451613
 0.26451613 0.29032258 0.29032258 0.30967742 0.32258065 0.32903226
 0.32903226 0.3483871  0.3483871  0.36129032 0.36129032 0.36774194
 0.45806452 0.53548387 0.53548387 0.69032258 0.69677419 0.71612903
 0.71612903 0.74193548 0.80645161 0.81935484 0.83870968 0.84516129
 0.84516129 0.87096774 0.89032258 0.92258065 0.92258065 0.93548387
 0.96129032 0.96129032 0.96129032 0.96129032 0.98064516 0.99354839
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[0.         0.00645161 0.00645161 0.0516129  0.06451613 0.08387097
 0.08387097 0.08387097 0.08387097 0.1483871  0.16129032 0.16774194
 0.49677419 0.50322581 0.51612903 0.64516129 0.64516129 0.67096774
 0.67096774 0.68387097 0.69032258 0.69032258 0.69677419 0.74193548
 0.8        0.8        0.8        0.81290323 0.81290323 0.82580645
 0.84516129 0.84516129 0.87096774 0.89032258 0.92903226 0.92903226
 0.92903226 0.92903226 0.95483871 0.98064516 0.99354839 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.07096774 0.09677419 0.09677419
 0.10967742 0.10967742 0.17419355 0.18709677 0.19354839 0.20645161
 0.20645161 0.21290323 0.24516129 0.55483871 0.56774194 0.58709677
 0.67096774 0.67096774 0.68387097 0.68387097 0.68387097 0.69032258
 0.69032258 0.7483871  0.79354839 0.79354839 0.79354839 0.8
 0.8        0.81290323 0.81290323 0.81290323 0.83225806 0.84516129
 0.84516129 0.85806452 0.88387097 0.91612903 0.94193548 0.95483871
 0.95483871 0.96774194 0.99354839 0.99354839 0.99354839 0.99354839
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.02580645 0.03870968
 0.08387097 0.08387097 0.08387097 0.10967742 0.17419355 0.18709677
 0.18709677 0.19354839 0.19354839 0.20645161 0.20645161 0.53548387
 0.54193548 0.54193548 0.6        0.61935484 0.63225806 0.64516129
 0.65806452 0.66451613 0.72258065 0.72258065 0.73548387 0.73548387
 0.76129032 0.76774194 0.76774194 0.81290323 0.81290323 0.81935484
 0.84516129 0.84516129 0.85806452 0.87741935 0.90967742 0.90967742
 0.91612903 0.91612903 0.94193548 0.95483871 0.96129032 0.96129032
 0.97419355 0.99354839 0.99354839 1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.0516129  0.06451613 0.08387097
 0.09677419 0.18064516 0.18709677 0.41935484 0.52903226 0.59354839
 0.61290323 0.64516129 0.64516129 0.64516129 0.64516129 0.6516129
 0.6516129  0.66451613 0.69032258 0.7483871  0.7483871  0.7483871
 0.7483871  0.8        0.81290323 0.81290323 0.81935484 0.83870968
 0.84516129 0.84516129 0.87096774 0.89032258 0.90967742 0.90967742
 0.90967742 0.91612903 0.94193548 0.9483871  0.97419355 0.98709677
 0.99354839 0.99354839 0.99354839 0.99354839 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.05806452 0.08387097
 0.08387097 0.1483871  0.16129032 0.16129032 0.16129032 0.16129032
 0.16774194 0.18709677 0.18709677 0.27096774 0.50322581 0.52903226
 0.54193548 0.54193548 0.5483871  0.66451613 0.69032258 0.69032258
 0.7483871  0.7483871  0.7483871  0.7483871  0.8        0.8
 0.8        0.8        0.81290323 0.81290323 0.82580645 0.84516129
 0.84516129 0.88387097 0.90322581 0.90967742 0.93548387 0.9483871
 0.97419355 0.97419355 0.97419355 0.98064516 0.99354839 0.99354839
 0.99354839 0.99354839 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.03225806 0.04516129 0.08387097
 0.08387097 0.08387097 0.09677419 0.09677419 0.10322581 0.10322581
 0.12903226 0.14193548 0.14193548 0.14193548 0.21935484 0.21935484
 0.21935484 0.28387097 0.32258065 0.32258065 0.36129032 0.36129032
 0.67096774 0.69677419 0.69677419 0.72258065 0.72258065 0.72258065
 0.7483871  0.75483871 0.75483871 0.81290323 0.81290323 0.81290323
 0.81935484 0.84516129 0.84516129 0.87096774 0.89032258 0.90967742
 0.90967742 0.90967742 0.92258065 0.9483871  0.98064516 0.99354839
 0.99354839 0.99354839 0.99354839 0.99354839 1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.07096774 0.08387097
 0.08387097 0.08387097 0.08387097 0.1483871  0.1483871  0.1483871
 0.1483871  0.17419355 0.17419355 0.17419355 0.17419355 0.17419355
 0.17419355 0.17419355 0.17419355 0.2        0.25806452 0.56774194
 0.57419355 0.6        0.6516129  0.66451613 0.67741935 0.71612903
 0.74193548 0.75483871 0.75483871 0.76774194 0.76774194 0.79354839
 0.8        0.81290323 0.81935484 0.81935484 0.83870968 0.84516129
 0.84516129 0.8516129  0.87096774 0.90967742 0.90967742 0.90967742
 0.92903226 0.95483871 0.98064516 0.99354839 0.99354839 0.99354839
 0.99354839 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.01290323 0.01290323 0.08387097
 0.08387097 0.1483871  0.16129032 0.16129032 0.17419355 0.2
 0.21935484 0.21935484 0.21935484 0.22580645 0.22580645 0.22580645
 0.22580645 0.23225806 0.23225806 0.25806452 0.25806452 0.28387097
 0.34193548 0.3483871  0.3483871  0.3483871  0.36774194 0.38064516
 0.38064516 0.44516129 0.67741935 0.69032258 0.71612903 0.72903226
 0.72903226 0.72903226 0.72903226 0.72903226 0.79354839 0.8
 0.81290323 0.81290323 0.81935484 0.84516129 0.84516129 0.86451613
 0.88387097 0.92258065 0.92258065 0.93548387 0.93548387 0.93548387
 0.93548387 0.96129032 0.98709677 0.98709677 1.         1.
 1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.02580645 0.03870968
 0.08387097 0.08387097 0.08387097 0.08387097 0.1483871  0.1483871
 0.1483871  0.1483871  0.1483871  0.1483871  0.17419355 0.19354839
 0.20645161 0.20645161 0.52258065 0.52258065 0.52258065 0.56129032
 0.61290323 0.63225806 0.63870968 0.65806452 0.67096774 0.67096774
 0.74193548 0.75483871 0.79354839 0.80645161 0.80645161 0.81290323
 0.81290323 0.82580645 0.84516129 0.84516129 0.85806452 0.87741935
 0.89677419 0.89677419 0.89677419 0.90967742 0.92258065 0.92258065
 0.92903226 0.92903226 0.92903226 0.93548387 0.96129032 0.98064516
 0.99354839 1.         1.         1.         1.         1.
 1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.07096774 0.08387097 0.08387097
 0.09032258 0.09677419 0.11612903 0.17419355 0.2        0.21290323
 0.23225806 0.46451613 0.50322581 0.51612903 0.51612903 0.52258065
 0.52258065 0.53548387 0.53548387 0.5483871  0.56774194 0.56774194
 0.6        0.6        0.61290323 0.61290323 0.61290323 0.61290323
 0.61290323 0.63870968 0.63870968 0.70322581 0.71612903 0.77419355
 0.77419355 0.8        0.8        0.8        0.8        0.81290323
 0.82580645 0.84516129 0.84516129 0.8516129  0.87096774 0.87741935
 0.87741935 0.93548387 0.9483871  0.95483871 0.95483871 0.96129032
 0.98709677 0.99354839 0.99354839 0.99354839 0.99354839 1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.00645161 0.06451613 0.07741935 0.08387097
 0.08387097 0.08387097 0.11612903 0.11612903 0.11612903 0.11612903
 0.1483871  0.1483871  0.1483871  0.17419355 0.18709677 0.19354839
 0.23225806 0.24516129 0.27096774 0.37419355 0.41290323 0.41935484
 0.66451613 0.67096774 0.67096774 0.67096774 0.73548387 0.74193548
 0.74193548 0.7483871  0.8        0.8        0.81290323 0.82580645
 0.84516129 0.84516129 0.86451613 0.88387097 0.91612903 0.91612903
 0.91612903 0.94193548 0.96129032 0.96129032 0.96774194 0.96774194
 0.98709677 1.         1.         1.         1.         1.
 1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.07096774 0.08387097
 0.10967742 0.10967742 0.10967742 0.10967742 0.10967742 0.10967742
 0.10967742 0.10967742 0.10967742 0.17419355 0.17419355 0.17419355
 0.17419355 0.17419355 0.18709677 0.27096774 0.29032258 0.31612903
 0.5483871  0.5483871  0.57419355 0.58709677 0.6        0.70322581
 0.70322581 0.70967742 0.72258065 0.72903226 0.76129032 0.81290323
 0.81290323 0.83225806 0.84516129 0.84516129 0.86451613 0.90967742
 0.90967742 0.91612903 0.94193548 0.98064516 0.98064516 0.98064516
 0.98709677 0.98709677 0.98709677 1.         1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.07096774 0.08387097
 0.08387097 0.09677419 0.2        0.2        0.23225806 0.23225806
 0.23225806 0.24516129 0.24516129 0.30967742 0.30967742 0.30967742
 0.30967742 0.30967742 0.30967742 0.41290323 0.41935484 0.6516129
 0.6516129  0.67741935 0.75483871 0.76129032 0.81290323 0.81290323
 0.81290323 0.81935484 0.81935484 0.82580645 0.84516129 0.84516129
 0.8516129  0.8516129  0.85806452 0.87741935 0.90967742 0.92258065
 0.92903226 0.92903226 0.95483871 0.96774194 0.98064516 0.98709677
 0.98709677 0.98709677 0.99354839 0.99354839 1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.04516129 0.07096774
 0.08387097 0.09677419 0.41290323 0.43225806 0.53548387 0.54193548
 0.54193548 0.60645161 0.61290323 0.67741935 0.68387097 0.71612903
 0.71612903 0.72258065 0.72258065 0.72258065 0.7483871  0.7483871
 0.8        0.8        0.8        0.8        0.8        0.81290323
 0.81290323 0.83225806 0.84516129 0.84516129 0.85806452 0.87741935
 0.92903226 0.92903226 0.92903226 0.93548387 0.96129032 0.97419355
 0.98064516 0.98064516 0.99354839 0.99354839 1.         1.
 1.         1.         1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.02580645 0.03870968
 0.08387097 0.09677419 0.10322581 0.18064516 0.41290323 0.41935484
 0.43225806 0.52258065 0.56129032 0.58064516 0.59354839 0.6516129
 0.65806452 0.66451613 0.68387097 0.68387097 0.70967742 0.70967742
 0.70967742 0.70967742 0.70967742 0.72258065 0.72258065 0.73548387
 0.73548387 0.73548387 0.8        0.8        0.8        0.8
 0.8        0.8        0.81290323 0.81290323 0.81935484 0.84516129
 0.84516129 0.86451613 0.87096774 0.87096774 0.88387097 0.88387097
 0.89032258 0.89032258 0.90967742 0.92258065 0.92258065 0.93548387
 0.93548387 0.93548387 0.9483871  0.97419355 0.98064516 0.99354839
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[0.         0.00645161 0.01290323 0.01290323 0.03225806 0.04516129
 0.08387097 0.09677419 0.09677419 0.09677419 0.09677419 0.09677419
 0.16129032 0.16129032 0.17419355 0.17419355 0.17419355 0.17419355
 0.19354839 0.20645161 0.20645161 0.29032258 0.52258065 0.52258065
 0.52903226 0.60645161 0.63225806 0.66451613 0.67096774 0.67096774
 0.68387097 0.68387097 0.74193548 0.74193548 0.7483871  0.8
 0.8        0.81290323 0.81290323 0.81935484 0.81935484 0.83225806
 0.83225806 0.84516129 0.84516129 0.85806452 0.87741935 0.89677419
 0.89677419 0.90322581 0.90322581 0.93548387 0.96129032 0.97419355
 0.97419355 0.98064516 0.98064516 0.98064516 0.99354839 0.99354839
 1.         1.         1.         1.         1.         1.
 1.         1.        ]",,,,,,,,,,,,,,,,,,,,
